,release_date,movie,production_budget,domestic_gross,year,month,title_year,title,studio,primary_name,primary_title,genres,movie_id,return,percent_return,bucket,scaled_value,bucket_low,bucket_high,bucket_mean
489,2013-05-24,Epic,100000000,107518682,2013,5,Epic2013,Epic,Fox,,,,,7518682,1.07518682,4,4.098665118978526,66000000.0,410600000.0,22911648.3942029
493,2012-08-17,The Expendables 2,100000000,85028192,2012,8,The Expendables 22012,The Expendables 2,LGF,Avi Lerner,The Expendables 2,"Action,Adventure,Thriller",tt1764651,-14971808,0.85028192,4,4.098665118978526,66000000.0,410600000.0,22911648.3942029
496,2014-07-25,Hercules,100000000,72688614,2014,7,Hercules2014,,,Barry Levine,Hercules,"Action,Adventure,Fantasy",tt1267297,-27311386,0.72688614,4,4.098665118978526,66000000.0,410600000.0,22911648.3942029
499,2010-12-10,The Tourist,100000000,67631157,2010,12,The Tourist2010,The Tourist,Sony,Roger Birnbaum,The Tourist,"Action,Adventure,Thriller",tt1243957,-32368843,0.67631157,4,4.098665118978526,66000000.0,410600000.0,22911648.3942029
505,2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,100000000,55675313,2010,9,Legend of the Guardians: The Owls of Ga'Hoole2010,Legend of the Guardians: The Owls of Ga'Hoole,WB,Zareh Nalbandian,Legend of the Guardians: The Owls of Ga'Hoole,"Action,Adventure,Animation",tt1219342,-44324687,0.55675313,4,4.098665118978526,66000000.0,410600000.0,22911648.3942029
511,2014-08-15,The Expendables 3,100000000,39322544,2014,8,The Expendables 32014,The Expendables 3,LGF,Danny Lerner,The Expendables 3,"Action,Adventure,Thriller",tt2333784,-60677456,0.39322544,4,4.098665118978526,66000000.0,410600000.0,22911648.3942029
514,2010-03-12,Green Zone,100000000,35497337,2010,3,Green Zone2010,Green Zone,Uni.,Lloyd Levin,Green Zone,"Action,Drama,Thriller",tt0947810,-64502663,0.35497337,4,4.098665118978526,66000000.0,410600000.0,22911648.3942029
517,2017-10-20,Geostorm,100000000,33700160,2017,10,Geostorm2017,Geostorm,WB,David Ellison,Geostorm,"Action,Sci-Fi,Thriller",tt1981128,-66299840,0.3370016,4,4.098665118978526,66000000.0,410600000.0,22911648.3942029
519,2015-12-25,Point Break,100000000,28782481,2015,12,Point Break2015,,,Broderick Johnson,Point Break,"Action,Crime,Sport",tt2058673,-71217519,0.28782481,4,4.098665118978526,66000000.0,410600000.0,22911648.3942029
521,2015-12-11,In the Heart of the Sea,100000000,25020758,2015,12,In the Heart of the Sea2015,In the Heart of the Sea,WB,Brian Grazer,In the Heart of the Sea,"Action,Adventure,Biography",tt1390411,-74979242,0.25020758,4,4.098665118978526,66000000.0,410600000.0,22911648.3942029
522,2014-04-18,Transcendence,100000000,23022309,2014,4,Transcendence2014,Transcendence,WB,Annie Marter,Transcendence,"Action,Drama,Sci-Fi",tt2209764,-76977691,0.23022309,4,4.098665118978526,66000000.0,410600000.0,22911648.3942029
527,2018-12-14,Mortal Engines,100000000,15951040,2018,12,Mortal Engines2018,Mortal Engines,Uni.,Deborah Forte,Mortal Engines,"Action,Adventure,Fantasy",tt1571234,-84048960,0.1595104,4,4.098665118978526,66000000.0,410600000.0,22911648.3942029
529,2012-01-20,Jin líng shí san chai,100000000,311434,2012,1,Jin lÃ­ng shÃ­ san chai2012,,,,,,,-99688566,0.00311434,4,4.098665118978526,66000000.0,410600000.0,22911648.3942029
530,2015-11-06,The Peanuts Movie,99000000,130178411,2015,11,The Peanuts Movie2015,The Peanuts Movie,Fox,Paul Feig,The Peanuts Movie,"Adventure,Animation,Comedy",tt2452042,31178411,1.3149334444444445,4,4.095763203714451,66000000.0,410600000.0,22911648.3942029
532,2018-11-21,Robin Hood,99000000,30824628,2018,11,Robin Hood2018,,,Jennifer Davisson,Robin Hood,"Action,Adventure,Thriller",tt4532826,-68175372,0.3113598787878788,4,4.095763203714451,66000000.0,410600000.0,22911648.3942029
536,2017-05-19,Alien: Covenant,97000000,74262031,2017,5,Alien: Covenant2017,Alien: Covenant,Fox,,,,,-22737969,0.7655879484536082,4,4.089959373186303,66000000.0,410600000.0,22911648.3942029
537,2015-03-13,Cinderella,95000000,201151353,2015,3,Cinderella2015,,,Allison Shearmur,Cinderella,"Drama,Family,Fantasy",tt1661199,106151353,2.117382663157895,4,4.084155542658154,66000000.0,410600000.0,22911648.3942029
540,2012-07-13,Ice Age: Continental Drift,95000000,161321843,2012,7,Ice Age: Continental Drift2012,Ice Age: Continental Drift,Fox,John C. Donkin,Ice Age: Continental Drift,"Adventure,Animation,Comedy",tt1667889,66321843,1.6981246631578948,4,4.084155542658154,66000000.0,410600000.0,22911648.3942029
542,2010-05-27,Sex and the City 2,95000000,95347692,2010,5,Sex and the City 22010,Sex and the City 2,WB (NL),John P. Melfi,Sex and the City 2,"Comedy,Drama,Romance",tt1261945,347692,1.0036599157894737,4,4.084155542658154,66000000.0,410600000.0,22911648.3942029
543,2010-02-12,Percy Jackson & the Olympians: The Lightning Thief,95000000,88768303,2010,2,Percy Jackson & the Olympians: The Lightning Thief2010,,,Karen Rosenfelt,Percy Jackson & the Olympians: The Lightning Thief,"Adventure,Family,Fantasy",tt0814255,-6231697,0.9344031894736842,4,4.084155542658154,66000000.0,410600000.0,22911648.3942029
546,2012-08-10,The Campaign,95000000,86907746,2012,8,The Campaign2012,The Campaign,WB,,,,,-8092254,0.9148183789473684,4,4.084155542658154,66000000.0,410600000.0,22911648.3942029
547,2010-11-12,Unstoppable,95000000,81562942,2010,11,Unstoppable2010,Unstoppable,Fox,Alex Young,Unstoppable,"Action,Thriller",tt0477080,-13437058,0.8585572842105264,4,4.084155542658154,66000000.0,410600000.0,22911648.3942029
554,2016-08-19,Ben-Hur,95000000,26410477,2016,8,Ben-Hur2016,,,Duncan Henderson,Ben-Hur,"Action,Adventure,Drama",tt2638144,-68589523,0.2780050210526316,4,4.084155542658154,66000000.0,410600000.0,22911648.3942029
556,2015-02-06,Seventh Son,95000000,17725785,2015,2,Seventh Son2015,Seventh Son,Uni.,,,,,-77274215,0.1865872105263158,4,4.084155542658154,66000000.0,410600000.0,22911648.3942029
561,2015-02-13,Kingsman: The Secret Service,94000000,128261724,2015,2,Kingsman: The Secret Service2015,Kingsman: The Secret Service,Fox,,,,,34261724,1.364486425531915,4,4.08125362739408,66000000.0,410600000.0,22911648.3942029
563,2011-08-05,Rise of the Planet of the Apes,93000000,176760185,2011,8,Rise of the Planet of the Apes2011,Rise of the Planet of the Apes,Fox,Dylan Clark,Rise of the Planet of the Apes,"Action,Drama,Sci-Fi",tt1318514,83760185,1.9006471505376343,4,4.078351712130006,66000000.0,410600000.0,22911648.3942029
567,2013-02-14,A Good Day to Die Hard,92000000,67349198,2013,2,A Good Day to Die Hard2013,A Good Day to Die Hard,Fox,Wyck Godfrey,A Good Day to Die Hard,"Action,Thriller",tt1606378,-24650802,0.7320565,4,4.075449796865931,66000000.0,410600000.0,22911648.3942029
571,2013-12-25,The Secret Life of Walter Mitty,91000000,58236838,2013,12,The Secret Life of Walter Mitty2013,The Secret Life of Walter Mitty,Fox,Stuart Cornfeld,The Secret Life of Walter Mitty,"Adventure,Comedy,Drama",tt0359950,-32763162,0.6399652527472528,4,4.072547881601857,66000000.0,410600000.0,22911648.3942029
574,2017-12-20,Jumanji: Welcome to the Jungle,90000000,404508916,2017,12,Jumanji: Welcome to the Jungle2017,Jumanji: Welcome to the Jungle,Sony,,,,,314508916,4.494543511111111,4,4.069645966337783,66000000.0,410600000.0,22911648.3942029
580,2018-12-14,Spider-Man: Into The Spider-Verse 3D,90000000,190173195,2018,12,Spider-Man: Into The Spider-Verse 3D2018,,,,,,,100173195,2.1130355,4,4.069645966337783,66000000.0,410600000.0,22911648.3942029
582,2011-04-15,Rio,90000000,143619809,2011,4,Rio2011,Rio,Fox,,,,,53619809,1.5957756555555556,4,4.069645966337783,66000000.0,410600000.0,22911648.3942029
587,2011-12-20,The Girl with the Dragon Tattoo,90000000,102515793,2011,12,The Girl with the Dragon Tattoo2011,,,Søren Stærmose,The Girl with the Dragon Tattoo,"Crime,Drama,Mystery",tt1568346,12515793,1.1390643666666667,4,4.069645966337783,66000000.0,410600000.0,22911648.3942029
593,2016-09-23,The Magnificent Seven,90000000,93432655,2016,9,The Magnificent Seven2016,,,,,,,3432655,1.0381406111111111,4,4.069645966337783,66000000.0,410600000.0,22911648.3942029
594,2015-12-18,Alvin and the Chipmunks: The Road Chip,90000000,85886987,2015,12,Alvin and the Chipmunks: The Road Chip2015,Alvin and the Chipmunks: The Road Chip,Fox,Ross Bagdasarian Jr.,Alvin and the Chipmunks: The Road Chip,"Adventure,Animation,Comedy",tt2974918,-4113013,0.9542998555555555,4,4.069645966337783,66000000.0,410600000.0,22911648.3942029
597,2015-07-24,Pixels,90000000,78765986,2015,7,Pixels2015,Pixels,Sony,Allen Covert,Pixels,"Action,Comedy,Sci-Fi",tt2120120,-11234014,0.8751776222222222,4,4.069645966337783,66000000.0,410600000.0,22911648.3942029
603,2013-08-07,Percy Jackson: Sea of Monsters,90000000,68559554,2013,8,Percy Jackson: Sea of Monsters2013,Percy Jackson: Sea of Monsters,Fox,Michael Barnathan,Percy Jackson: Sea of Monsters,"Adventure,Family,Fantasy",tt1854564,-21440446,0.7617728222222222,4,4.069645966337783,66000000.0,410600000.0,22911648.3942029
606,2016-06-10,Now You See Me 2,90000000,65075540,2016,6,Now You See Me 22016,Now You See Me 2,LG/S,Bobby Cohen,Now You See Me 2,"Action,Adventure,Comedy",tt3110958,-24924460,0.7230615555555555,4,4.069645966337783,66000000.0,410600000.0,22911648.3942029
610,2018-03-16,Tomb Raider,90000000,58250803,2018,3,Tomb Raider2018,Tomb Raider,WB,,,,,-31749197,0.6472311444444444,4,4.069645966337783,66000000.0,410600000.0,22911648.3942029
616,2011-08-19,Conan the Barbarian,90000000,21295021,2011,8,Conan the Barbarian2011,,,John Baldecchi,Conan the Barbarian,"Action,Adventure,Fantasy",tt0816462,-68704979,0.23661134444444445,4,4.069645966337783,66000000.0,410600000.0,22911648.3942029
617,2011-10-21,The Three Musketeers,90000000,20377913,2011,10,The Three Musketeers2011,,,Robert Kulzer,The Three Musketeers,"Action,Adventure,Romance",tt1509767,-69622087,0.22642125555555556,4,4.069645966337783,66000000.0,410600000.0,22911648.3942029
619,2017-04-21,The Promise,90000000,8224288,2017,4,The Promise2017,,,Dorival Farlone,The Promise,Drama,tt10013288,-81775712,0.09138097777777777,4,4.069645966337783,66000000.0,410600000.0,22911648.3942029
628,2010-11-24,The Nutcracker in 3D,90000000,195459,2010,11,The Nutcracker in 3D2010,The Nutcracker in 3D,Free,Paul Lowin,The Nutcracker in 3D,"Action,Family,Fantasy",tt1041804,-89804541,0.0021717666666666666,4,4.069645966337783,66000000.0,410600000.0,22911648.3942029
631,2018-09-14,The Predator,88000000,51024708,2018,9,The Predator2018,,,John Davis,The Predator,"Action,Adventure,Sci-Fi",tt3829266,-36975292,0.5798262272727273,4,4.063842135809634,66000000.0,410600000.0,22911648.3942029
642,2014-03-21,Divergent,85000000,150947895,2014,3,Divergent2014,Divergent,LG/S,Pouya Shahbazian,Divergent,"Action,Adventure,Mystery",tt1840309,65947895,1.775857588235294,4,4.055136390017411,66000000.0,410600000.0,22911648.3942029
644,2012-09-28,Hotel Transylvania,85000000,148313048,2012,9,Hotel Transylvania2012,Hotel Transylvania,Sony,,,,,63313048,1.744859388235294,4,4.055136390017411,66000000.0,410600000.0,22911648.3942029
647,2012-02-10,Safe House,85000000,126181630,2012,2,Safe House2012,Safe House,Uni.,Scott Stuber,Safe House,"Action,Adventure,Crime",tt1599348,41181630,1.4844897647058823,4,4.055136390017411,66000000.0,410600000.0,22911648.3942029
653,2011-11-04,Tower Heist,85000000,78046570,2011,11,Tower Heist2011,Tower Heist,Uni.,,,,,-6953430,0.9181949411764706,4,4.055136390017411,66000000.0,410600000.0,22911648.3942029
655,2012-03-30,Mirror Mirror,85000000,64935167,2012,3,Mirror Mirror2012,Mirror Mirror,Rela.,Ryan Kavanaugh,Mirror Mirror,"Adventure,Comedy,Drama",tt1667353,-20064833,0.7639431411764706,4,4.055136390017411,66000000.0,410600000.0,22911648.3942029
663,2011-11-23,Arthur Christmas,85000000,46462469,2011,11,Arthur Christmas2011,Arthur Christmas,Sony,Carla Shelley,Arthur Christmas,"Adventure,Animation,Comedy",tt1430607,-38537531,0.5466172823529412,4,4.055136390017411,66000000.0,410600000.0,22911648.3942029
666,2017-01-20,xXx: Return of Xander Cage,85000000,44898413,2017,1,xXx: Return of Xander Cage2017,,,Samantha Vincent,xXx: Return of Xander Cage,"Action,Adventure,Thriller",tt1293847,-40101587,0.5282166235294118,4,4.055136390017411,66000000.0,410600000.0,22911648.3942029
670,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,85000000,43585753,2010,7,Cats & Dogs: The Revenge of Kitty Galore2010,Cats & Dogs: The Revenge of Kitty Galore,WB,Polly Johnsen,Cats & Dogs: The Revenge of Kitty Galore,"Action,Comedy,Family",tt1287468,-41414247,0.5127735647058823,4,4.055136390017411,66000000.0,410600000.0,22911648.3942029
675,2010-08-13,Scott Pilgrim vs. The World,85000000,31611316,2010,8,Scott Pilgrim vs. The World2010,,,,,,,-53388684,0.37189783529411763,4,4.055136390017411,66000000.0,410600000.0,22911648.3942029
678,2017-12-20,The Greatest Showman,84000000,174340174,2017,12,The Greatest Showman2017,The Greatest Showman,Fox,Jenno Topping,The Greatest Showman,"Biography,Drama,Musical",tt1485796,90340174,2.075478261904762,4,4.052234474753337,66000000.0,410600000.0,22911648.3942029
683,2013-07-19,RED 2,84000000,53262560,2013,7,RED 22013,,,Lorenzo di Bonaventura,RED 2,"Action,Comedy,Crime",tt1821694,-30737440,0.6340780952380952,4,4.052234474753337,66000000.0,410600000.0,22911648.3942029
689,2010-08-13,The Expendables,82000000,103068524,2010,8,The Expendables2010,The Expendables,LGF,Avi Lerner,The Expendables,"Action,Adventure,Thriller",tt1320253,21068524,1.2569332195121952,4,4.046430644225189,66000000.0,410600000.0,22911648.3942029
694,2012-03-23,The Hunger Games,80000000,408010692,2012,3,The Hunger Games2012,The Hunger Games,LGF,Nina Jacobson,The Hunger Games,"Action,Adventure,Sci-Fi",tt1392170,328010692,5.10013365,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
696,2011-05-26,The Hangover Part II,80000000,254464305,2011,5,The Hangover Part II2011,The Hangover Part II,WB,Daniel Goldberg,The Hangover Part II,"Comedy,Mystery",tt1411697,174464305,3.1808038125,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
698,2017-02-10,The Lego Batman Movie,80000000,175750384,2017,2,The Lego Batman Movie2017,,,,,,,95750384,2.1968798,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
699,2015-09-25,Hotel Transylvania 2,80000000,169700110,2015,9,Hotel Transylvania 22015,Hotel Transylvania 2,Sony,Michelle Murdocca,Hotel Transylvania 2,"Animation,Comedy,Family",tt2510894,89700110,2.121251375,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
705,2013-07-12,Grown Ups 2,80000000,133668525,2013,7,Grown Ups 22013,Grown Ups 2,Sony,Jack Giarraputo,Grown Ups 2,Comedy,tt2191701,53668525,1.6708565625,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
706,2011-12-16,Alvin and the Chipmunks: Chipwrecked,80000000,133107389,2011,12,Alvin and the Chipmunks: Chipwrecked2011,Alvin and the Chipmunks: Chipwrecked,Fox,Ross Bagdasarian Jr.,Alvin and the Chipmunks: Chipwrecked,"Adventure,Animation,Comedy",tt1615918,53107389,1.6638423625,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
709,2010-02-19,Shutter Island,80000000,128012934,2010,2,Shutter Island2010,Shutter Island,Par.,Arnold Messer,Shutter Island,"Mystery,Thriller",tt1130884,48012934,1.600161675,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
717,2011-02-11,Just Go With It,80000000,103028109,2011,2,Just Go With It2011,Just Go With It,Sony,,,,,23028109,1.2878513625,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
721,2010-12-17,Yogi Bear,80000000,100246011,2010,12,Yogi Bear2010,Yogi Bear,WB,,,,,20246011,1.2530751375,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
723,2010-01-15,The Book of Eli,80000000,94835059,2010,1,The Book of Eli2010,The Book of Eli,WB,Joel Silver,The Book of Eli,"Action,Adventure,Drama",tt1037705,14835059,1.1854382375,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
729,2014-10-17,Fury,80000000,85817906,2014,10,Fury2014,,,Bill Block,Fury,"Action,Drama,War",tt2713180,5817906,1.072723825,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
732,2018-09-28,Smallfoot,80000000,83240103,2018,9,Smallfoot2018,Smallfoot,WB,,,,,3240103,1.0405012875,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
734,2011-07-08,Zookeeper,80000000,80360866,2011,7,Zookeeper2011,Zookeeper,Sony,Walt Becker,Zookeeper,"Comedy,Family,Romance",tt1222817,360866,1.004510825,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
757,2013-12-20,Walking with Dinosaurs,80000000,36076121,2013,12,Walking with Dinosaurs2013,Walking with Dinosaurs,Fox,,,,,-43923879,0.4509515125,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
760,2015-10-23,The Last Witch Hunter,80000000,27367660,2015,10,The Last Witch Hunter2015,The Last Witch Hunter,LG/S,Bernie Goldmann,The Last Witch Hunter,"Action,Adventure,Fantasy",tt1618442,-52632340,0.34209575,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
762,2014-02-21,Pompeii,80000000,23169033,2014,2,Pompeii2014,Pompeii,TriS,Don Carmody,Pompeii,"Action,Adventure,Drama",tt1921064,-56830967,0.2896129125,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
768,2010-04-22,Oceans,80000000,19422319,2010,4,Oceans2010,Oceans,BV,,,,,-60577681,0.2427789875,4,4.04062681369704,66000000.0,410600000.0,22911648.3942029
776,2012-02-10,Journey 2: The Mysterious Island,79000000,103860290,2012,2,Journey 2: The Mysterious Island2012,Journey 2: The Mysterious Island,WB (NL),Beau Flynn,Journey 2: The Mysterious Island,"Action,Adventure,Comedy",tt1397514,24860290,1.3146872151898734,4,4.037724898432966,66000000.0,410600000.0,22911648.3942029
777,2011-11-11,Jack and Jill,79000000,74158157,2011,11,Jack and Jill2011,Jack and Jill,Sony,Todd Garner,Jack and Jill,Comedy,tt0810913,-4841843,0.9387108481012658,4,4.037724898432966,66000000.0,410600000.0,22911648.3942029
779,2013-09-27,Cloudy with a Chance of Meatballs 2,78000000,119793567,2013,9,Cloudy with a Chance of Meatballs 22013,Cloudy with a Chance of Meatballs 2,Sony,,,,,41793567,1.5358149615384615,4,4.034822983168891,66000000.0,410600000.0,22911648.3942029
784,2016-02-12,The Little Prince,77500000,1311213,2016,2,The Little Prince2016,The Little Prince,EOne,,,,,-76188787,0.016918877419354838,4,4.033372025536854,66000000.0,410600000.0,22911648.3942029
785,2018-07-20,The Equalizer 2,77000000,102084362,2018,7,The Equalizer 22018,The Equalizer 2,Sony,Jason Blumenthal,The Equalizer 2,"Action,Crime,Thriller",tt3766354,25084362,1.3257709350649352,4,4.031921067904817,66000000.0,410600000.0,22911648.3942029
787,2013-07-03,Despicable Me 2,76000000,368065385,2013,7,Despicable Me 22013,Despicable Me 2,Uni.,Christopher Meledandri,Despicable Me 2,"Adventure,Animation,Comedy",tt1690953,292065385,4.842965592105263,4,4.029019152640743,66000000.0,410600000.0,22911648.3942029
792,2016-07-08,The Secret Life of Pets,75000000,368384330,2016,7,The Secret Life of Pets2016,The Secret Life of Pets,Uni.,Janet Healy,The Secret Life of Pets,"Adventure,Animation,Comedy",tt2709768,293384330,4.911791066666667,4,4.026117237376669,66000000.0,410600000.0,22911648.3942029
794,2018-11-09,Dr. Seuss' The Grinch,75000000,270620950,2018,11,Dr. Seussâ The Grinch2018,,,,,,,195620950,3.6082793333333334,4,4.026117237376669,66000000.0,410600000.0,22911648.3942029
795,2016-12-21,Sing,75000000,270329045,2016,12,Sing2016,Sing,Uni.,Janet Healy,Sing,"Animation,Comedy,Family",tt3470600,195329045,3.6043872666666665,4,4.026117237376669,66000000.0,410600000.0,22911648.3942029
797,2017-06-30,Despicable Me 3,75000000,264624300,2017,6,Despicable Me 32017,Despicable Me 3,Uni.,Janet Healy,Despicable Me 3,"Adventure,Animation,Comedy",tt3469046,189624300,3.528324,4,4.026117237376669,66000000.0,410600000.0,22911648.3942029
801,2010-06-25,Grown Ups,75000000,162001186,2010,6,Grown Ups2010,Grown Ups,Sony,Jack Giarraputo,Grown Ups,Comedy,tt1375670,87001186,2.160015813333333,4,4.026117237376669,66000000.0,410600000.0,22911648.3942029
808,2013-05-31,Now You See Me,75000000,117723989,2013,5,Now You See Me2013,Now You See Me,LG/S,Alex Kurtzman,Now You See Me,"Crime,Mystery,Thriller",tt1670345,42723989,1.5696531866666668,4,4.026117237376669,66000000.0,410600000.0,22911648.3942029
811,2018-08-03,Christopher Robin,75000000,99215042,2018,8,Christopher Robin2018,,,,,,,24215042,1.3228672266666666,4,4.026117237376669,66000000.0,410600000.0,22911648.3942029
813,2011-11-11,Immortals,75000000,83504017,2011,11,Immortals2011,Immortals,Rela.,Gianni Nunnari,Immortals,"Action,Drama,Fantasy",tt1253864,8504017,1.1133868933333333,4,4.026117237376669,66000000.0,410600000.0,22911648.3942029
824,2010-06-04,Killers,75000000,47059963,2010,6,Killers2010,Killers,LGF,Mike Karz,Killers,"Action,Comedy,Romance",tt1103153,-27940037,0.6274661733333333,4,4.026117237376669,66000000.0,410600000.0,22911648.3942029
827,2015-08-14,The Man From U.N.C.L.E.,75000000,45445109,2015,8,The Man From U.N.C.L.E.2015,The Man From U.N.C.L.E.,WB,,,,,-29554891,0.6059347866666667,4,4.026117237376669,66000000.0,410600000.0,22911648.3942029
834,2011-03-25,Sucker Punch,75000000,36392502,2011,3,Sucker Punch2011,Sucker Punch,WB,Deborah Snyder,Sucker Punch,"Action,Adventure,Fantasy",tt0978764,-38607498,0.48523336,4,4.026117237376669,66000000.0,410600000.0,22911648.3942029
836,2016-10-28,Inferno,75000000,34343574,2016,10,Inferno2016,Inferno,Sony,Brian Grazer,Inferno,"Action,Adventure,Crime",tt3062096,-40656426,0.45791432,4,4.026117237376669,66000000.0,410600000.0,22911648.3942029
843,2015-07-10,Minions,74000000,336045770,2015,7,Minions2015,Minions,Uni.,Janet Healy,Minions,"Adventure,Animation,Comedy",tt2293640,262045770,4.541159054054054,4,4.023215322112594,66000000.0,410600000.0,22911648.3942029
845,2015-02-06,The SpongeBob Movie: Sponge Out of Water,74000000,162994032,2015,2,The SpongeBob Movie: Sponge Out of Water2015,The SpongeBob Movie: Sponge Out of Water,Par.,,,,,88994032,2.202622054054054,4,4.023215322112594,66000000.0,410600000.0,22911648.3942029
848,2016-05-20,The Angry Birds Movie,73000000,107509366,2016,5,The Angry Birds Movie2016,The Angry Birds Movie,Sony,,,,,34509366,1.4727310410958905,4,4.02031340684852,66000000.0,410600000.0,22911648.3942029
870,2018-06-08,Ocean's 8,70000000,140218711,2018,6,Oceanâs 82018,,,,,,,70218711,2.0031244428571426,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
876,2017-11-10,Daddy's Home 2,70000000,104029443,2017,11,Daddyâs Home 22017,,,,,,,34029443,1.4861349,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
880,2013-03-22,Olympus Has Fallen,70000000,98927592,2013,3,Olympus Has Fallen2013,Olympus Has Fallen,FD,Danny Lerner,Olympus Has Fallen,"Action,Thriller",tt2302755,28927592,1.4132513142857144,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
883,2011-03-11,Battle: Los Angeles,70000000,83552429,2011,3,Battle: Los Angeles2011,Battle: Los Angeles,Sony,,,,,13552429,1.1936061285714286,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
885,2011-12-25,War Horse,70000000,79883359,2011,12,War Horse2011,War Horse,BV,Kathleen Kennedy,War Horse,"Drama,History,War",tt1568911,9883359,1.141190842857143,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
887,2014-02-07,The Monuments Men,70000000,78031620,2014,2,The Monuments Men2014,The Monuments Men,Sony,,,,,8031620,1.1147374285714287,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
888,2016-09-23,Storks,70000000,72679278,2016,9,Storks2016,Storks,WB,Bradford Lewis,Storks,"Adventure,Animation,Comedy",tt4624424,2679278,1.0382754,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
892,2012-01-20,Underworld: Awakening,70000000,62321039,2012,1,Underworld: Awakening2012,,,,,,,-7678961,0.8903005571428572,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
893,2017-09-22,The Lego Ninjago Movie,70000000,59281555,2017,9,The Lego Ninjago Movie2017,,,,,,,-10718445,0.8468793571428571,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
894,2014-10-10,Dracula Untold,70000000,55991880,2014,10,Dracula Untold2014,Dracula Untold,Uni.,Michael De Luca,Dracula Untold,"Action,Drama,Fantasy",tt0829150,-14008120,0.799884,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
897,2010-09-24,Wall Street 2: Money Never Sleeps,70000000,52474616,2010,9,Wall Street 2: Money Never Sleeps2010,,,,,,,-17525384,0.7496373714285715,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
898,2011-01-14,The Dilemma,70000000,48475290,2011,1,The Dilemma2011,The Dilemma,Uni.,Brian Grazer,The Dilemma,"Comedy,Drama",tt1578275,-21524710,0.6925041428571429,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
902,2012-06-15,Rock of Ages,70000000,38518613,2012,6,Rock of Ages2012,Rock of Ages,WB (NL),Garrett Grant,Rock of Ages,"Comedy,Drama,Musical",tt1336608,-31481387,0.5502659,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
910,2016-01-29,The Finest Hours,70000000,27569558,2016,1,The Finest Hours2016,The Finest Hours,BV,,,,,-42430442,0.39385082857142856,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
911,2013-10-18,Escape Plan,70000000,25135965,2013,10,Escape Plan2013,Escape Plan,LG/S,Remington Chase,Escape Plan,"Action,Crime,Mystery",tt1211956,-44864035,0.35908521428571427,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
914,2011-09-23,Killer Elite,70000000,25124986,2011,9,Killer Elite2011,Killer Elite,ORF,Sigurjon Sighvatsson,Killer Elite,"Action,Crime,Thriller",tt1448755,-44875014,0.3589283714285714,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
920,2014-01-10,The Legend of Hercules,70000000,18848538,2014,1,The Legend of Hercules2014,The Legend of Hercules,LG/S,Danny Lerner,The Legend of Hercules,"Action,Adventure,Fantasy",tt1043726,-51151462,0.2692648285714286,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
925,2014-05-09,Legends of Oz: Dorothy's Return,70000000,8462347,2014,5,Legends of Oz: Dorothyâs Return2014,,,,,,,-61537653,0.12089067142857143,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
926,2015-01-16,Blackhat,70000000,8005980,2015,1,Blackhat2015,Blackhat,Uni.,Jon Jashni,Blackhat,"Action,Crime,Thriller",tt2717822,-61994020,0.11437114285714285,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
929,2010-05-28,Agora,70000000,619423,2010,5,Agora2010,Agora,NM,,,,,-69380577,0.0088489,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
