,,release_date,movie,production_budget,domestic_gross,year,month,title_year,title,studio,primary_name,primary_title,genres,movie_id,return,percent_return,bucket,scaled_value,bucket_low,bucket_high,bucket_mean
HighProducer,1401,2011-09-23,Moneyball,50000000,75605492,2011,9,Moneyball2011,Moneyball,Sony,Michael De Luca,Moneyball,"Biography,Drama,Sport",tt1210166,25605492,1.51210984,3,3.5588235294117645,31000000.0,65000000.0,11378705.229850747
HighProducer,1436,2014-08-08,Into the Storm,50000000,47602194,2014,8,Into the Storm2014,,,Todd Garner,Into the Storm,"Action,Adventure,Drama",tt2106361,-2397806,0.95204388,3,3.5588235294117645,31000000.0,65000000.0,11378705.229850747
HighProducer,1484,2011-04-08,Your Highness,50000000,21596445,2011,4,Your Highness2011,Your Highness,Uni.,Scott Stuber,Your Highness,"Adventure,Comedy,Fantasy",tt1240982,-28403555,0.4319289,3,3.5588235294117645,31000000.0,65000000.0,11378705.229850747
HighProducer,1659,2011-10-21,Johnny English Reborn,45000000,8406711,2011,10,Johnny English Reborn2011,Johnny English Reborn,Uni.,Tim Bevan,Johnny English Reborn,"Action,Adventure,Comedy",tt1634122,-36593289,0.1868158,3,3.411764705882353,31000000.0,65000000.0,11378705.229850747
HighProducer,1675,2013-06-28,The Heat,43000000,159581587,2013,6,The Heat2013,The Heat,Fox,Peter Chernin,The Heat,"Action,Comedy,Crime",tt2404463,116581587,3.711199697674419,3,3.3529411764705883,31000000.0,65000000.0,11378705.229850747
HighProducer,1687,2012-03-16,21 Jump Street,42000000,138447667,2012,3,21 Jump Street2012,21 Jump Street,Sony,Neal H. Moritz,21 Jump Street,"Action,Comedy,Crime",tt1232829,96447667,3.2963730238095237,3,3.323529411764706,31000000.0,65000000.0,11378705.229850747
HighProducer,1698,2012-10-12,Here Comes the Boom,42000000,45290318,2012,10,Here Comes the Boom2012,Here Comes the Boom,Sony,Todd Garner,Here Comes the Boom,"Action,Comedy,Sport",tt1648179,3290318,1.0783409047619048,3,3.323529411764706,31000000.0,65000000.0,11378705.229850747
HighProducer,1714,2012-01-27,Man on a Ledge,42000000,18620000,2012,1,Man on a Ledge2012,Man on a Ledge,LG/S,Lorenzo di Bonaventura,Man on a Ledge,"Action,Adventure,Crime",tt1568338,-23380000,0.44333333333333336,3,3.323529411764706,31000000.0,65000000.0,11378705.229850747
HighProducer,1755,2010-10-01,The Social Network,40000000,96962694,2010,10,The Social Network2010,The Social Network,Sony,Michael De Luca,The Social Network,"Biography,Drama",tt1285016,56962694,2.42406735,3,3.264705882352941,31000000.0,65000000.0,11378705.229850747
HighProducer,1794,2010-06-04,Get Him to the Greek,40000000,61153526,2010,6,Get Him to the Greek2010,Get Him to the Greek,Uni.,Judd Apatow,Get Him to the Greek,"Adventure,Comedy,Music",tt1226229,21153526,1.52883815,3,3.264705882352941,31000000.0,65000000.0,11378705.229850747
HighProducer,1842,2011-03-18,Paul,40000000,37412945,2011,3,Paul2011,Paul,Uni.,Tim Bevan,Paul,"Adventure,Comedy,Sci-Fi",tt1092026,-2587055,0.935323625,3,3.264705882352941,31000000.0,65000000.0,11378705.229850747
HighProducer,1964,2015-04-17,Paul Blart: Mall Cop 2,38000000,71091594,2015,4,Paul Blart: Mall Cop 22015,Paul Blart: Mall Cop 2,Sony,Todd Garner,Paul Blart: Mall Cop 2,"Action,Comedy,Crime",tt3450650,33091594,1.8708314210526316,3,3.2058823529411766,31000000.0,65000000.0,11378705.229850747
HighProducer,2031,2011-01-28,The Rite,37000000,33047633,2011,1,The Rite2011,The Rite,WB (NL),Beau Flynn,The Rite,"Drama,Horror,Mystery",tt1161864,-3952367,0.8931792702702702,3,3.176470588235294,31000000.0,65000000.0,11378705.229850747
HighProducer,2035,2015-05-29,Aloha,37000000,21052030,2015,5,Aloha2015,Aloha,Sony,Scott Rudin,Aloha,"Comedy,Drama,Romance",tt1243974,-15947970,0.5689737837837838,3,3.176470588235294,31000000.0,65000000.0,11378705.229850747
HighProducer,2067,2010-12-22,True Grit,35000000,171243005,2010,12,True Grit2010,True Grit,Par.,Scott Rudin,True Grit,"Adventure,Drama,Western",tt1403865,136243005,4.892657285714286,3,3.1176470588235294,31000000.0,65000000.0,11378705.229850747
HighProducer,2111,2018-10-12,Goosebumps 2: Haunted Halloween,35000000,46697321,2018,10,Goosebumps 2: Haunted Halloween2018,Goosebumps 2: Haunted Halloween,Sony,Neal H. Moritz,Goosebumps 2: Haunted Halloween,"Adventure,Comedy,Family",tt5664636,11697321,1.3342091714285715,3,3.1176470588235294,31000000.0,65000000.0,11378705.229850747
HighProducer,2131,2011-11-09,J. Edgar,35000000,37306030,2011,11,J. Edgar2011,J. Edgar,WB,Brian Grazer,J. Edgar,"Biography,Crime,Drama",tt1616195,2306030,1.0658865714285715,3,3.1176470588235294,31000000.0,65000000.0,11378705.229850747
